WARDS,War_Code,Cattle_2014,Sheep_2014,Pigs_2014,Poultry_2014,Cattle_2013,Sheep_2013,Pigs_2013,Poultry_2013,Cattle_2012,Sheep_2012,Pigs_2012,Poultry_2012,Cattle_2011,Sheep_2011,Pigs_2011,Poultry_2011,Cattle_2010,Sheep_2010,Pigs_2010,Poultry_2010,Cattle_2009,Sheep_2009,Pigs_2009,Poultry_2009,Cattle_2008,Sheep_2008,Pigs_2008,Poultry_2008,Cattle_2007,Sheep_2007,Pigs_2007,Poultry_2007,Cattle_2006,Sheep_2006,Pigs_2006,Poultry_2006,Cattle_2005,Sheep_2005,Pigs_2005,Poultry_2005,Cattle_2004,Sheep_2004,Pigs_2004,Poultry_2004,Cattle_2003,Sheep_2003,Pigs_2003,Poultry_2003,Cattle_2002,Sheep_2002,Pigs_2002,Poultry_2002,Cattle_2001,Sheep_2001,Pigs_2001,Poultry_2001,Cattle_2000,Sheep_2000,Pigs_2000,Poultry_2000,Cattle_1999,Sheep_1999,Pigs_1999,Poultry_1999
GARVAGH,95JJ10,5387,10633,70,57514,4878,10835,102,29200,6184,11447,168,43499,6120,11645,331,30001,6152,11528,249,47500,6105,11355,337,44200,5902,11734,454,45000,9626,14650,510,19030,8914,14435,495,101700,6653,13368,354,138051,6795,13638,786,90053,6680,13659,921,110083,6700,13453,1099,110193,6824,16887,1013,90033,6106,12394,1133,90036,6949,19115,1301,100767
GILFORD,95FF09,1284,393,0,0,1122,435,0,0,1173,521,0,0,957,586,4,0,1019,528,3,0,1003,472,3,0,1136,590,0,0,1181,1128,0,0,1232,1060,0,0,1092,425,0,0,926,464,0,42,1085,462,0,51,957,325,0,51,854,365,0,59,768,0,0,0,785,0,0,0
GILNAHIRK,95II12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLACK,95RR08,3536,5867,0,0,3566,7002,0,0,3738,11223,0,0,3727,11016,0,1,3683,11271,0,1100,3745,11397,3,1310,37433,11472,5,1300,6336,19033,0,0,6426,19741,0,833,4978,12927,14,94,4872,12333,11,98,4993,12870,16,103,4601,12841,114,137,4355,13541,149,131,4577,15040,0,0,4485,16373,101,123
GLEBE,95EE08,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLEBE,95TT05,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,193,67,0,0,192,67,0,0,349,9,3,0,321,9,3,7,234,30,3,7,236,30,0,7,234,32,0,7,136,136,0,7,177,146,0,7,0,0,0,0,0,0,0,0
GLEBE,95WW15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLEN,95BB12,544,368,0,0,632,617,0,0,546,609,0,0,499,609,0,0,471,614,0,0,463,855,0,0,377,704,0,0,897,0,0,0,842,17,0,0,453,1014,0,0,688,1041,0,15,695,1341,67,15,721,1630,20,16,687,1688,12,5515,670,0,0,0,572,0,0,0
GLEN ROAD,95GG25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLENAAN,95UU08,511,6080,0,23701,510,5462,0,93401,551,6025,0,109690,656,6407,0,53800,603,6101,0,8800,821,6057,0,50000,707,6123,0,25000,2237,10790,3,9000,2305,10426,0,8532,691,6171,0,4123,698,6238,0,3000,719,6409,0,3000,685,5629,0,3000,359,3035,0,3000,794,8805,0,76,819,9262,0,70
GLENARIFF,95UU09,894,19426,0,18375,908,17467,0,18375,1023,21507,0,275,1004,17897,0,275,911,21161,0,280,914,20914,0,60,873,18816,0,0,2719,18144,0,0,2727,20293,0,67,871,26214,0,0,864,26282,0,15,966,26131,0,0,997,24054,0,27,858,20328,0,27,1139,24254,0,0,1267,24465,0,0
GLENARM,95QQ10,7302,43844,3,42400,7140,41831,5,42600,7860,46353,4,26300,7920,46107,0,26801,7806,42916,0,28000,8069,43890,0,23560,8099,45251,0,10820,8017,34153,183,32130,7895,34385,217,34333,9184,42748,0,10226,9449,43955,0,10395,9600,43866,0,10252,9778,43137,3,10231,9849,41226,139,16328,9450,42604,0,15962,9779,44914,0,16148
GLENAVY,95SS11,8953,3649,10,134675,9747,3461,4,18807,10179,4024,0,12875,9159,3929,0,20697,9561,4138,16,8740,10117,3971,0,19620,10983,4139,0,8210,11166,6753,19,230615,11556,6915,775,232596,10270,3873,0,51276,10159,3974,0,51430,10092,3898,0,41795,11093,5686,12,38367,10334,5978,62,9685,11672,6847,114,16680,12458,7634,11788,17665
GLENCAIRN,95GG26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLENCOLIN,95GG27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLENDERG,95ZZ08,7626,33212,6214,0,7738,32245,6705,36061,8375,32368,7438,36061,8527,30983,7323,35809,8668,29834,6338,0,9522,30601,5717,0,8747,32113,4605,0,10555,25102,2328,51200,10702,26806,2154,53585,9279,34659,10797,189,9574,36655,12141,198,9688,38759,12967,119,10049,41858,12187,152,10256,48167,9078,154,10603,55352,8627,10140,10503,55538,12018,11082
GLENDUN,95UU10,1983,35769,0,0,2097,35082,0,0,2381,38884,0,0,2480,38510,21,0,2509,37828,3,0,2630,39358,3,0,2214,41293,3,0,3008,32740,0,0,3424,33276,0,109,3174,42165,0,99,3394,44018,0,93,3558,43498,0,25,3376,40573,0,25,1311,21359,0,18,4444,57532,0,0,4179,55917,0,0
GLENGORMLEY,95WW16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLENRAVEL,95DD15,9939,30654,359,266491,9593,31537,254,259425,9740,29973,372,283760,10424,30106,422,177408,9767,30415,337,135920,9739,30232,318,145590,10019,30453,366,160440,11454,23491,1988,248800,10944,24083,1868,281522,10073,28952,796,289282,10164,31902,1219,281585,10020,32754,1128,335010,10406,31404,1200,226526,9426,29202,368,240170,9050,32903,0,295399,9867,35987,4170,215388
GLENSHESK,95UU11,3409,41881,24,11410,3368,41671,92,11350,3702,45319,55,11303,3478,46629,50,11002,3587,45303,75,0,3528,45789,41,0,3454,45894,42,12750,4845,28861,42,31800,4740,28917,20,22011,4091,48215,3,32631,3913,51648,3,31569,3967,51349,3,34101,3964,52710,9,32576,3989,53738,3,34077,3881,54753,0,23254,4283,56162,0,23301
GLENTAISIE,95UU12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,93,3779,0,0,300,3545,3,0,255,3518,0,0,294,4075,0,0,176,4560,0,0,176,4604,0,0,180,5096,0,0,180,4888,0,0,0,0,0,0,0,4375,0,0
GLENWHIRRY,95DD16,9186,24534,799,406681,9926,23492,1544,213630,10721,25125,1064,210430,10726,22885,20,152130,10104,21349,11,121500,10221,22705,20,188420,10819,22532,34,188030,10540,18272,12146,200250,10851,18558,11466,220321,10753,23358,63,253733,10836,22586,96,330650,11059,21103,72,353355,10835,19946,215,297448,12104,21918,182,255698,11464,21695,179,215664,11649,23255,1151,249322
GLYNN,95QQ11,7114,11282,33,24809,7506,11422,47,23409,7315,11628,93,22620,7362,10700,214,22077,7400,10413,75,4990,7093,11858,89,16640,7362,12977,70,0,5090,14751,0,1,5136,14296,0,50606,6785,13467,36,49578,6880,14164,775,5946,6800,14289,490,5562,6078,14053,40,51,6528,14959,470,47,6954,15954,0,49956,6180,14030,0,6083
GORTALEE,95HH07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GORTALOWRY,95KK04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,182,126,0,0,297,0,0,0,0,0,0,0
GORTIN,95YY12,10359,18827,2353,117500,10508,19345,2347,117500,11861,19797,2350,117000,11758,16325,2244,93301,12072,16217,1962,134300,11699,16631,2118,126300,10852,17178,2529,159000,9163,18753,260,103500,9464,18973,270,20185,11293,20266,3225,15263,11222,21972,3191,32797,11258,21354,3598,32302,11604,21003,15486,321,10516,22725,15986,363,10346,24677,15961,16345,11268,25522,18318,302
GORTRUSH,95YY13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,105,206,0,0,100,186,0,0,266,281,0,0,199,250,0,0,209,320,0,0,239,650,0,0,266,347,0,0,548,1009,0,0,436,1089,0,0
GRAHAM'S BRIDGE,95II13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRANGE,95DD17,13061,4942,1889,108332,13147,5339,1458,181226,12785,5113,659,215285,12747,4895,1828,180482,12937,4938,918,129000,13182,5096,850,93500,13709,5125,2950,171890,11804,11082,3342,93478,11829,11722,3228,210736,13996,6447,3332,129519,13387,7191,3131,88319,13326,6882,3490,125755,13426,7737,3865,142808,13033,7075,4059,100949,13341,8576,3925,113876,13119,8840,5483,147610
GRANSHA,95FF10,8354,11480,14,15200,8639,12311,3,93200,8995,12674,10,92200,9163,11762,35,90200,8669,12658,74,11000,8704,13544,88,36470,8990,14612,61,70520,8225,13556,3404,98601,8175,15015,2485,99730,8380,16037,26,66609,8437,16631,25,63048,8425,16503,24,69800,9233,17675,24,65232,8990,18196,220,78921,9488,21396,320,110822,10049,20695,630,125502
GREENISLAND,95HH08,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREGSTOWN,95BB13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRESTEEL,95RR09,1574,1997,0,0,1561,2127,0,0,1527,2365,0,0,1508,2403,0,0,1923,2161,0,0,1606,2184,0,0,1903,1794,0,0,2239,4306,0,0,2148,4439,0,0,1670,1410,0,0,1998,2234,0,0,2415,2087,0,5,2303,2283,0,1,2692,3023,0,14,2973,6085,0,0,2706,3441,0,0
GREYSTONE,95AA10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREYSTONE,95RR10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GROOMSPORT,95XX16,651,773,0,0,615,694,0,0,474,707,0,0,541,693,0,0,532,776,0,0,501,586,0,0,511,515,0,0,420,67,0,0,451,67,0,16,369,452,0,0,494,403,0,0,489,417,0,0,502,335,0,0,468,338,0,0,686,0,0,0,456,0,0,0
GULLADUFF,95TT06,4687,5011,2817,0,4563,5008,2652,0,5076,4567,1310,0,5267,3972,2379,0,5727,4592,1998,0,6142,4884,1871,0,5209,4877,2403,0,5359,14064,3475,0,5243,14947,4161,41,5999,5715,2789,44,6139,5123,2434,7,6155,5512,2909,19,5443,6199,3478,18,5804,7909,3713,20,5842,8425,2272,0,5335,7921,1848,0
HAMILTONSBAWN,95CC09,8382,7719,2,207485,7876,6878,2,274187,8522,6433,17,206614,8109,5757,2,188039,8124,5597,237,99470,8275,5943,235,101240,8889,6175,235,182180,12143,5681,251,162300,11487,6641,264,76335,9995,8273,455,81081,10635,9264,431,67798,10552,9144,633,86974,9497,8282,298,76008,10200,9357,532,68822,9994,9861,466,74535,10052,10051,3227,76135
HARBOUR,95QQ12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARBOUR,95XX17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARMONY HILL,95SS12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARRYVILLE,95DD18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,427,2972,0,0,821,0,0,0,0,0,0,0
HAWTHORNE,95WW17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGHFIELD,95GG28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGHTOWN,95WW18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILDEN,95SS13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILLFOOT,95II14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILLHALL,95SS14,484,0,1437,0,490,0,1422,0,453,0,1413,0,497,0,1512,0,454,0,1530,0,564,0,1561,0,651,0,1651,0,826,24,0,0,906,46,0,0,869,0,1464,25,850,0,1562,9,781,0,1682,0,703,0,1423,0,890,304,1573,0,897,0,0,0,903,0,0,0
HILLSBOROUGH,95SS15,3652,672,2202,0,3576,526,2090,0,4209,535,1744,39500,4247,385,1282,39500,4036,294,1254,0,4160,352,1580,0,5685,2018,3048,39940,5461,1789,0,20000,5363,1939,0,20028,5841,1571,2912,20045,5709,1526,2469,40038,5717,1582,3140,37034,5288,1949,2921,19072,5034,2260,2870,19048,5563,2796,0,18034,4976,2456,2814,20064
HOCKLEY,95CC10,6893,2396,4939,60640,6631,2234,4944,7090,6730,2182,3258,0,6468,1839,3248,7166,6923,1931,3919,7170,6370,1624,5214,15640,7182,1951,1366,14400,6200,3059,1083,19200,5423,2807,5416,31050,7203,2586,6561,22214,7310,2475,6589,23280,6912,2133,6589,21547,6496,2535,5644,14500,5879,2896,6169,22879,6454,2969,6956,0,6211,3061,7137,0
HOLLY MOUNT,95MM18,6232,11123,70,16000,6245,9726,90,0,6568,10070,79,0,6239,9514,49,0,6062,10121,3,0,6240,11037,3,0,6355,11253,3,0,5028,7446,1628,0,4965,7610,700,123,6837,12400,0,29,6781,13958,0,5,6724,14064,0,70,6916,14683,0,98,6806,15311,3,145,6794,16926,0,107,6351,17371,0,0
HOLYWOOD DEMESNE,95XX18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOLYWOOD PRIORY,95XX19,354,0,0,0,400,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,443,0,0,0,505,0,0,0,751,305,3,0,742,305,0,0,572,40,0,49,526,39,0,3,574,39,0,4,995,0,0,12,578,203,3,34,1291,0,0,0,988,0,0,0
HOPEFIELD,95JJ11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRVINESTOWN,95PP13,1583,1505,0,0,1824,1616,3,0,1622,1675,2,0,1569,1509,2,0,1435,1601,0,0,1729,1761,0,0,1903,1689,0,0,2965,879,0,0,3091,814,0,0,2204,2071,0,9,2316,2135,27,36,2295,1643,36,95,2416,1689,37,125,2149,1835,57,137,2390,1752,0,122,2548,2797,0,0
ISLAND,95GG29,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLAND MAGEE,95QQ13,3418,6218,8,0,3404,5709,52,0,3335,5818,43,0,3338,5562,78,0,3271,5302,45,0,3193,4787,148,0,3739,5951,212,120,3536,9172,0,0,3340,8461,0,81,3492,5537,127,47,3605,5764,47,82,3783,5440,120,130,3885,5584,78,113,3812,5729,99,137,3975,5840,0,0,4171,6199,0,0
JORDANSTOWN,95WW19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KATESBRIDGE,95FF11,12250,11890,3014,70800,11791,12568,3452,54132,12350,13679,3095,75700,11578,13334,2841,54004,11900,13319,3030,113400,11384,14685,2737,114000,12367,15584,2210,56390,10528,16143,7775,113012,10204,15904,7424,168390,11940,17272,2521,109085,12010,17933,2474,75957,11869,18180,2404,95131,11626,18631,2453,58094,12788,20445,2114,62097,12931,21423,2133,113811,12119,20622,3077,80257
KEADY,95CC11,568,70,0,0,788,70,0,0,773,70,0,0,596,70,0,0,625,70,0,0,723,70,0,0,709,70,0,0,458,374,214,0,519,482,169,26,863,70,212,0,883,69,200,0,904,69,210,0,843,69,170,0,697,217,110,0,590,0,0,0,655,0,0,0
KELLS,95DD19,2495,3879,99,91916,2419,3654,142,95300,2567,4081,110,70400,2602,4405,221,59680,2579,3470,13,71600,2811,3208,3,177500,2676,3629,3,155500,2158,1378,0,63336,2324,1553,15,544175,2931,3992,0,236561,2852,3714,0,236670,2797,3928,0,239697,3240,5151,0,243552,2881,4519,0,236052,2805,5598,0,308052,2565,5761,0,237857
KERNAN,95LL16,2970,158,1319,0,2575,171,0,0,2738,293,970,0,2602,264,1062,1,2672,205,902,0,2617,223,1018,0,2899,228,131,250,2469,362,882,0,2136,362,984,42,2502,165,2112,170,2506,162,2328,184,2511,291,2387,168,2564,98,2565,168,2297,629,2536,965000,2124,0,0,1338391,2233,0,5372,1170689
"KESH, EDERNEY and LACK",95PP14,9399,13808,4,0,9117,14102,10,0,9680,13739,4,0,9444,12662,3,0,9446,11471,3,0,9274,11670,19,0,9546,12129,22,0,12582,10555,28,190685,12610,10584,25,197153,11290,12156,20,341,11582,12230,0,212,11642,11830,0,233,12957,10435,20,123,12192,12060,23,133,11996,13460,0,106,13130,13672,0,151
KILFENNAN,95MM19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KILKEEL CENTRAL,95VV18,724,1596,8,0,783,875,0,0,621,785,0,0,550,727,11,0,590,789,11,0,730,1511,653,0,821,1186,11,0,1031,1614,0,95000,1039,1733,0,109612,879,2234,0,60,873,2266,10,48,902,2150,20,56,802,1107,3,76,928,2750,3,76,926,3342,0,0,886,1936,0,0
KILKEEL SOUTH,95VV19,1177,2485,1731,0,1202,2469,2272,0,1323,2452,2131,0,1310,2527,2178,0,1343,2667,1750,0,1265,1797,1361,0,1366,2152,1195,0,1367,3999,0,0,1238,4321,0,6,906,2055,1044,24,922,2270,784,21,881,2509,757,22,1033,3500,654,19,763,2503,683,12,923,3662,0,0,1049,4433,0,0
KILLEEN,95CC12,11933,6865,6163,471700,12624,6542,6125,464252,12910,6878,6036,508607,12450,6510,5496,395880,12969,5754,4786,417100,12616,7473,4671,418440,12445,7769,4421,488360,10105,5344,46231,347368,10135,4861,32953,408284,10768,4879,3315,210613,9849,4598,3679,213970,9717,4616,4057,181139,11015,6130,1804,169394,10154,6407,1337,144485,11275,7175,1024,147568,11753,7580,1912,130982
KILLINCHY,95BB14,4698,8185,2,46000,4804,8450,0,47000,4692,8547,2,6000,4368,8218,12,49000,4446,7876,3,0,4333,7808,0,9000,4408,8109,0,27000,3464,7331,0,35000,3464,7382,0,16150,4956,7879,0,162,5592,8303,0,17704,5388,8574,0,35169,5275,9584,15,46234,5081,11063,14,62386,4991,10989,0,47362,5086,11948,0,52753
KILLOQUIN LOWER,95EE09,6000,4408,673,206384,6408,4807,669,211348,6836,4705,526,242305,7180,4196,648,311701,7391,4219,684,345390,6488,4273,135,264570,6404,4354,136,194000,6592,7164,929,213784,7090,7212,2700,368756,7831,3874,350,371558,7912,3698,1609,252001,8012,3645,2134,286043,7535,4988,274,198878,7796,4603,358,216114,7210,4911,0,318237,7623,5627,1436,223152
KILLOQUIN UPPER,95EE10,3238,2446,95,8000,3249,2427,38,48900,3549,2522,43,59600,3708,2529,28,47101,3598,2524,22,69600,3846,2492,19,31500,3324,2734,23,30700,5289,5479,10273,45500,5496,5554,1061,10060,3773,2859,62,24528,3901,2821,458,27566,3919,2975,856,25776,3439,2478,735,25109,4057,3291,750,39113,3511,2585,0,23811,3705,2837,1153,21725
KILLOUGH,95NN14,7554,14333,4351,34025,7498,13922,3699,34000,7575,13616,3531,45000,7240,13070,3534,46000,7827,13116,3915,41000,7873,12786,3991,33100,8088,13528,2099,37670,6039,8657,9000,23000,5163,9736,7904,23160,7668,14886,3136,23109,7963,13945,2862,32166,8331,14432,3005,40147,7635,15549,2935,22185,8604,16650,2663,65196,7468,17531,1910,18198,7680,19949,2127,24205
KILLYCLOGHER,95YY14,3,3,3,3,3,3,3,3,83,118,0,0,76,73,0,0,90,115,0,0,3,3,3,3,0,0,0,0,656,553,0,0,658,619,0,0,3,3,3,3,0,0,0,0,26,150,0,12,98,233,0,12,80,659,0,12,87,0,0,0,169,0,0,0
KILLYCOLPY,95KK05,9669,934,2525,124843,9273,899,2842,128895,8360,493,2116,124516,8443,487,2316,191562,8376,544,2406,130640,8499,632,1966,88290,8586,609,2137,206760,8428,2359,2678,126600,8125,3028,1635,89009,11229,864,2382,179163,11424,790,1990,154866,11362,805,2978,158002,10461,527,1373,120453,10965,1619,2564,142724,9674,1613,0,96306,9983,1781,2938,104113
KILLYCOMAIN,95LL17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KILLYCROT,95HH09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KILLYLEA,95CC13,12854,8588,79538,46910,12681,8599,37700,48653,12674,9534,42624,112332,11485,8699,44148,71451,12156,8752,45866,118880,11596,8396,51350,38350,11954,7896,419,32360,13680,5130,1008,104050,13511,5851,1853,132525,11639,9314,18684,31614,11031,9021,18255,30266,10830,9601,22360,28820,10621,10670,12073,16788,10451,11549,5361,6794,10206,11931,0,7102,10511,12117,0,8100
KILLYLEAGH,95NN15,220,287,9266,0,259,287,8873,0,3,3,3,3,3,3,3,3,3,3,3,3,244,29,3,60,343,29,3,770,3,3,3,3,3,3,3,3,3,3,3,3,362,0,0,0,361,0,0,0,357,0,0,0,521,42,0,0,470,0,0,0,483,0,0,0
KILLYMAN,95OO17,4553,1005,6156,107581,4470,780,5113,102236,4382,711,7343,123900,3975,440,8228,157451,4367,302,6869,162940,4709,406,6966,139660,4184,395,6385,157880,3821,1984,1797,46220,4311,1719,1833,30272,5029,192,4833,77093,4888,188,4947,74867,5048,177,3789,90538,4756,312,3960,77443,4461,120,3552,53506,4684,416,4195,86853,5451,382,5088,86645
KILLYMEAL,95OO18,1017,0,0,0,941,0,0,0,1036,0,0,0,974,0,0,170,1025,0,0,0,920,0,0,0,980,0,0,0,650,88,0,6001,643,163,0,613480,876,61,0,14,906,27,0,10,805,27,446,6,715,5,376,6,685,3,196,24,766,0,0,0,804,0,0,0
KILLYMOON,95KK06,3,3,3,3,208,129,0,16000,200,131,0,16359,350,250,0,17201,405,215,0,0,152,147,0,16000,235,175,0,16000,220,218,0,11835,365,289,0,13000,319,262,0,16000,313,301,0,12000,299,275,0,12000,291,357,0,0,341,353,0,0,358,0,0,0,381,0,0,0
KILMORE,95NN16,7769,5689,2146,115175,7845,5364,1212,105066,8488,5359,132,100066,8193,5153,16,44801,8154,4904,1142,53070,8364,4676,1270,63160,8411,5007,1105,67080,6519,7200,872,100,5994,7572,836,47224,7388,5750,2063,134200,7450,6304,2509,133253,7522,6514,3772,126950,7751,7525,3323,115282,7252,6623,3606,115255,7602,7417,3899,34217,7969,9323,3163,121582
