WARDS,War_Code,Cattle_2014,Sheep_2014,Pigs_2014,Poultry_2014,Cattle_2013,Sheep_2013,Pigs_2013,Poultry_2013,Cattle_2012,Sheep_2012,Pigs_2012,Poultry_2012,Cattle_2011,Sheep_2011,Pigs_2011,Poultry_2011,Cattle_2010,Sheep_2010,Pigs_2010,Poultry_2010,Cattle_2009,Sheep_2009,Pigs_2009,Poultry_2009,Cattle_2008,Sheep_2008,Pigs_2008,Poultry_2008,Cattle_2007,Sheep_2007,Pigs_2007,Poultry_2007,Cattle_2006,Sheep_2006,Pigs_2006,Poultry_2006,Cattle_2005,Sheep_2005,Pigs_2005,Poultry_2005,Cattle_2004,Sheep_2004,Pigs_2004,Poultry_2004,Cattle_2003,Sheep_2003,Pigs_2003,Poultry_2003,Cattle_2002,Sheep_2002,Pigs_2002,Poultry_2002,Cattle_2001,Sheep_2001,Pigs_2001,Poultry_2001,Cattle_2000,Sheep_2000,Pigs_2000,Poultry_2000,Cattle_1999,Sheep_1999,Pigs_1999,Poultry_1999
DUNDOOAN,95JJ08,7655,3029,0,34431,7440,2823,0,210577,7244,2881,6,2700,7539,2395,6,172653,7036,2622,35,291940,6899,3314,25,468380,7083,4954,0,9100,4408,9641,0,525956,4371,8782,0,58039,8251,3123,0,483865,8337,3346,3,2505787,8397,2968,3,494544,8120,3675,7,1591774,8282,4095,7,509672,8488,6373,0,632422,8319,5267,0,644255
DUNDRUM,95NN12,3236,3818,98,13200,3274,3280,61,14000,3383,3882,6,14000,3687,3939,16,16000,3819,3765,62,0,3261,3239,3,16000,3711,3410,3,16000,4466,5226,423,0,4325,5590,608,147,3859,5997,218,16124,4020,6834,159,14173,4123,6861,226,14199,3641,5144,6,69,3908,6906,29,108,3745,4690,0,77,3893,4580,0,16062
DUNGIVEN,95RR04,159,3385,0,0,224,3246,0,0,498,3459,0,0,471,3775,0,0,363,3687,0,0,305,3741,0,0,397,3955,0,0,769,3572,0,0,799,3423,0,22,444,6994,0,0,483,6189,0,16,456,6858,0,9,514,5783,0,6,829,7812,0,22,761,7121,0,0,1085,8815,0,0
DUNLOY,95EE06,2492,3065,320,40979,2455,2795,492,31651,2575,2642,412,30658,2394,2601,406,43600,2438,2714,601,30300,2151,2469,614,0,2194,2614,671,60,1998,2452,0,25000,1982,2191,0,13051,2200,2763,1057,22575,2322,3086,1188,17582,2484,3072,985,23104,2473,3712,1021,20117,2747,4016,1012,23998,2913,4327,0,19004,2943,4693,0,19981
DUNLUCE,95JJ09,10960,3367,0,49440,10733,3555,0,66940,11049,3598,0,42940,10700,3560,0,50441,10852,3599,0,30000,10330,3465,0,16000,10780,3243,0,18000,6162,7280,0,97500,5830,6343,0,114043,9783,5540,7,8032,9930,6439,49,5132,10539,6424,46,10334,10586,7225,41,10137,10338,8223,42,9301,10327,7156,0,161,10390,9227,0,294
DUNMINNING,95DD12,8614,5066,19,367436,8756,4851,17,312437,8602,5285,17,415197,8158,5325,85,344343,8447,5131,41,181350,8217,5775,13,263250,8477,5560,9,323170,9423,16229,289,372300,9150,16830,217,233043,8795,5259,0,274788,9266,5325,3,351947,9152,5363,3,316869,9124,5792,3,386333,9417,6184,3,463833,9222,6001,357,417878,9078,6889,878,239282
DUNMORE,95NN13,6170,14804,622,39000,6304,14161,568,39500,5880,15517,599,0,5372,14980,534,39000,5367,15264,659,40000,5155,14915,728,0,5137,15385,128,0,6144,13230,982,0,6350,12273,795,104,5599,17800,73,46142,5447,18271,52,46152,5778,17890,65,46186,5403,19014,638,40116,5437,19967,59,5133,5477,21111,0,46118,5576,21153,321,46124
DUNMURRY,95SS10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUNNAMANAGH,95ZZ05,6359,30122,4,5000,6486,29373,0,5000,6806,29348,12,5000,6416,28844,10,6001,6464,32962,3,0,6324,32894,3,280,5650,33734,3,0,8045,28115,3,6200,7779,28775,3,142,6555,36155,5,142,6747,38423,5,130,6840,38327,5,123,6905,37417,3,140,7526,46751,0,78,7215,43613,0,68,7544,46986,0,147
DUNNAMORE,95KK03,8562,8730,694,446853,8998,9008,608,420381,9167,10107,612,426470,8603,9468,471,490301,8351,9492,442,483750,9014,9369,337,471300,8675,9306,342,437570,12692,7361,13157,304850,13616,7646,7974,338969,9546,10338,576,462472,9685,10596,908,447755,9432,10885,720,466062,9481,10909,643,336586,9974,13777,658,316241,9810,14365,411,341113,10047,16341,719,250925
